Sigla,Órgão,Unidade,Localização,Responsável
PREVIC,Superintendência Nacional de Previdência Complementar,CGTI Coordenação-Geral de Tecnologia da Informação,DF,Distrito Federal
SUDAM,Superintendência do Desenvolvimento da Amazônia,CGTIC Coordenação-Geral de Tecnologia da Informação e Comunicações,PA,Pará
SUDECO,Superintendência do Desenvolvimento do Centro-Oeste,CGLOG Coordenação-Geral de Logística e Tecnologia da Informação,DF,Distrito Federal
SUDENE,Superintendência do Desenvolvimento do Nordeste,"CGLCI Coordenação-Geral de Licitações, Convênios e Tecnologia da Informação",PE,Pernambuco
SUFRAMA,Superintendência da Zona Franca de Manaus,CGTIC Coordenação-Geral de Tecnologia da Informação e Comunicação,AM,Amazonas
SUSEP,Superintendência de Seguros Privados,DEATI Departamento de Administração e Tecnologia da Informação,RJ,Rio de Janeiro
UFABC,Fundação Universidade Federal do ABC,NTI Núcleo de Tecnologia da Informação,<p>SP,S&atilde;o Paulo</p>
UFAC,Fundação Universidade Federal do Acre,NTI Núcleo de Tecnologia da Informação,AC,Acre
UFAL,Universidade Federal de Alagoas,NTI Núcleo de Tecnologia da Informação,AL,Alagoas
UFAM,Fundação Universidade do Amazonas,CTIC Centro de Tecnologia da Informação e Comunicação,AM,Amazonas
UFAPE,Universidade Federal do Agreste de Pernambuco,STI.REIT Sistema de Tecnologia da Informação,PE,Pernambuco
UFBA,Universidade Federal da Bahia,STI Superintendência de Tecnologia da Informação,BA,Bahia
UFC,Universidade Federal do Ceará,STI2 Superintendência de Tecnologia da Informação,CE,Ceará
UFCA,Universidade Federal do Cariri,DTI Diretoria de Tecnologia da Informação,CE,Ceará
UFCAT,Universidade Federal de Catalão,SETI-UFCAT Secretaria de Tecnologia da Informação da UFCAT,GO,Goiás
UFCG,Universidade Federal de Campina Grande,STI-SEPLAN Serviço de Tecnologia da Informação,PB,Paraíba
